id,inventario,creado,equipo,registrado,código,descripción,upc,"capacidad por caja",cantidad,cajas,posición,"solicitud de cambio","cambios aplicados",eliminado,"justificación de eliminación",revisado
16899,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:42:46","27 - Jesús Víctor Gil",si,EV20840,"ESMALTE TECNOBRIL ROJO 4 L.",17501476220843,2,54,27, 10B70,,no,,,no
16900,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:43:06","27 - Jesús Víctor Gil",si,EV20740,"ESMALTE TECNOBRIL TURQUESA 4 L.",17501476220744,2,14,7, 10B69,,no,,,no
16901,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:43:55","27 - Jesús Víctor Gil",si,EV20802,"ESMALTE TECNOBRIL ROJO 250 ML.",17501476220829,9,387,43, 9B70,,no,,,no
16902,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:44:22","27 - Jesús Víctor Gil",si,EV20702,"ESMALTE TECNOBRIL TURQUESA 250 ML.",17501476220720,9,144,16, 9B69,,no,,,no
16903,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:45:28","27 - Jesús Víctor Gil",si,EV20710,"ESMALTE TECNOBRIL TURQUESA 1 L.",17501476220713,6,204,34, 9A69,,no,,,no
16904,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:45:48","27 - Jesús Víctor Gil",si,EV20810,"ESMALTE TECNOBRIL ROJO 1 L.",17501476220812,6,234,39, 9A70,,no,,,no
16905,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:46:18","27 - Jesús Víctor Gil",si,EV20890,"ESMALTE TECNOBRIL ROJO 19 L.",7501476220891,1,17,17, 10A70,,no,,,no
16906,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:46:53","27 - Jesús Víctor Gil",si,EV2039018,"ESMALTE AZUL FUERTE TC 19 L.",7501476200770,1,6,6, 10F67,,no,,,no
16907,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:47:12","27 - Jesús Víctor Gil",si,EV2039018,"ESMALTE AZUL FUERTE TC 19 L.",7501476200770,1,36,36, 9F67,,no,,,no
16908,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:47:46","27 - Jesús Víctor Gil",si,EV20490,"ESMALTE TECNOBRIL ROJO OXIDO 19 L.",7501476220495,1,21,21, 10D67,,no,,,no
16909,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:48:18","27 - Jesús Víctor Gil",si,EV20440,"ESMALTE TECNOBRIL ROJO OXIDO 4 L.",17501476220447,2,100,50, 9D67,,no,,,no
16910,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:48:52","27 - Jesús Víctor Gil",si,EV20605,"ESMALTE TECNOBRIL AMARILLO CROMO 500 ML.",17501476220652,9,171,19, 10C68,,no,,,no
16911,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:49:17","27 - Jesús Víctor Gil",si,EV20405,"ESMALTE TECNOBRIL ROJO OXIDO 500 ML.",17501476220454,9,369,41, 10C67,,no,,,no
16912,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:49:44","27 - Jesús Víctor Gil",si,EV20602,"ESMALTE TECNOBRIL AMARILLO CROMO 250 ML.",17501476220621,9,207,23, 9B68,,no,,,no
16913,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:50:10","27 - Jesús Víctor Gil",si,EV20402,"ESMALTE TECNOBRIL ROJO OXIDO 250 ML.",17501476220423,9,261,29, 9B67,,no,,,no
16914,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:50:30","27 - Jesús Víctor Gil",si,EV20640,"ESMALTE TECNOBRIL AMARILLO CROMO 4 L.",17501476220645,2,28,14, 10B68,,no,,,no
16915,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:50:56","27 - Jesús Víctor Gil",si,EV20440,"ESMALTE TECNOBRIL ROJO OXIDO 4 L.",17501476220447,2,74,37, 10B67,,no,,,no
16916,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:51:49","27 - Jesús Víctor Gil",si,EV20410,"ESMALTE TECNOBRIL ROJO OXIDO 1 L.",17501476220416,6,378,63, 9A67,,no,,,no
16917,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:52:11","27 - Jesús Víctor Gil",si,EV20610,"ESMALTE TECNOBRIL AMARILLO CROMO 1 L.",17501476220614,6,54,9, 9A68,,no,,,no
16918,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:52:41","27 - Jesús Víctor Gil",si,EV20490,"ESMALTE TECNOBRIL ROJO OXIDO 19 L.",7501476220495,1,22,22, 10A67,,no,,,no
16919,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:52:49","27 - Jesús Víctor Gil",si,EV20690,"ESMALTE TECNOBRIL AMARILLO CROMO 19 L.",7501476220693,1,1,1, 10A68,,no,,,no
16920,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:54:07","27 - Jesús Víctor Gil",si,EV2029027,"ESMALTE GRIS MAQUINARIA TC 19 L.",7501476201227,1,19,19, 10F65,,no,,,no
16921,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:54:31","27 - Jesús Víctor Gil",si,EV20305,"ESMALTE TECNOBRIL AZUL FUERTE 500 ML.",17501476220355,9,27,3, 10C66,,no,,,no
16922,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:54:39","27 - Jesús Víctor Gil",si,EV20205,"ESMALTE TECNOBRIL GRIS MAQUINARIA 500 ML.",17501476220256,9,9,1, 10C65,,no,,,no
16923,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:55:07","27 - Jesús Víctor Gil",si,EV20302,"ESMALTE TECNOBRIL AZUL FUERTE 250 ML.",17501476220324,9,396,44, 9B66,,no,,,no
16924,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:55:30","27 - Jesús Víctor Gil",si,EV20202,"ESMALTE TECNOBRIL GRIS MAQUINARIA 250 ML.",17501476220225,9,126,14, 9B65,,no,,,no
16925,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:55:40","27 - Jesús Víctor Gil",si,EV20340,"ESMALTE TECNOBRIL AZUL FUERTE 4 L.",17501476220348,2,2,1, 10B66,,no,,,no
16926,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:56:06","27 - Jesús Víctor Gil",si,EV20240,"ESMALTE TECNOBRIL GRIS MAQUINARIA 4 L.",17501476220249,2,124,62, 10B65,,no,,,no
16927,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:56:34","27 - Jesús Víctor Gil",si,EV20310,"ESMALTE TECNOBRIL AZUL FUERTE 1 L.",17501476220317,6,60,10, 9A66,,no,,,no
16928,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:56:50","27 - Jesús Víctor Gil",si,EV20390,"ESMALTE TECNOBRIL AZUL FUERTE 19 L.",7501476220396,1,9,9, 10A66,,no,,,no
16929,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:57:42","27 - Jesús Víctor Gil",si,EV2009013,"ESMALTE BLANCO TC 19 L.",7501476203634,1,26,26, 10F63,,no,,,no
16930,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:58:24","27 - Jesús Víctor Gil",si,EV20105,"ESMALTE TECNOBRIL NEGRO 500 ML.",17501476220157,9,1080,120, 9B64,,no,,,no
16931,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:58:37","27 - Jesús Víctor Gil",si,EV20105,"ESMALTE TECNOBRIL NEGRO 500 ML.",17501476220157,9,54,6, 10B64,,no,,,no
16932,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:59:33","27 - Jesús Víctor Gil",si,EV20110,"ESMALTE TECNOBRIL NEGRO 1 L.",17501476220119,6,750,125, 9A63,,no,,,no
16933,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 08:59:59","27 - Jesús Víctor Gil",si,EV20102,"ESMALTE TECNOBRIL NEGRO 250 ML.",17501476220126,9,846,94, 10A64,,no,,,no
16934,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:01:21","27 - Jesús Víctor Gil",si,EV20110,"ESMALTE TECNOBRIL NEGRO 1 L.",17501476220119,6,246,41, 10A63,,no,,,no
16935,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:02:02","27 - Jesús Víctor Gil",si,EV20140,"ESMALTE TECNOBRIL NEGRO 4 L.",17501476220140,2,66,33, 10C62,,no,,,no
16936,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:02:26","27 - Jesús Víctor Gil",si,EV20140,"ESMALTE TECNOBRIL NEGRO 4 L.",17501476220140,2,86,43, 10B62,,no,,,no
