id,id_cliente,ubicacion,departamento,estado,descuento,fecha,articulo,precio,cantidad,importe,tasa,metodo_envio,nota,comentarios_adicionales
233248299,25454,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",24.03.2023,23032,944.42,6,5666.52,0%,19981,,"Método de envío: TRANSPORTES AZTECA,  NOTA: Por favor enviar a la brevedad, saludos"
233248303,1989,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",24.03.2023,23224,1111.53,5,5557.65,0%,19906,,"Método de envío: AUTOEXPRESS TUXTEPEC,  NOTA: ANEXAR
3 CUBETAS DE MIL PIÑÓN SATINADO

 ETIQUETADO
 EL MIL ROJO OXIDO COMO ROJO INDIO
EL TECNOBRIL AMARILLO CROMO, CÓMO AMARILLO CATERPILLAR"
233248303,1989,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",24.03.2023,23205,1111.53,3,3334.59,0%,19906,,"Método de envío: AUTOEXPRESS TUXTEPEC,  NOTA: ANEXAR
3 CUBETAS DE MIL PIÑÓN SATINADO

 ETIQUETADO
 EL MIL ROJO OXIDO COMO ROJO INDIO
EL TECNOBRIL AMARILLO CROMO, CÓMO AMARILLO CATERPILLAR"
233248303,1989,"CEDIS PT FABELA","CEDIS FABELA","APROBACION PENDIENTE","Descuento socio",24.03.2023,22360,1546.14,1,1546.14,0%,19906,,"Método de envío: AUTOEXPRESS TUXTEPEC,  NOTA: ANEXAR
3 CUBETAS DE MIL PIÑÓN SATINADO

 ETIQUETADO
 EL MIL ROJO OXIDO COMO ROJO INDIO
EL TECNOBRIL AMARILLO CROMO, CÓMO AMARILLO CATERPILLAR"
