id,inventario,creado,equipo,registrado,código,descripción,upc,"capacidad por caja",cantidad,cajas,posición,"solicitud de cambio","cambios aplicados",eliminado,"justificación de eliminación",revisado
15777,"INV. AEROSOL AW/AM/AI/AS","2023-02-05 08:35:56","27 - Jesús Víctor Gil",si,AI76005,"AEROSOL IUSA GRIS ACERO 400 ML.",10791279212405,6,708,118, 2E22,,no,,,no
15778,"INV. AEROSOL AW/AM/AI/AS","2023-02-05 08:36:37","27 - Jesús Víctor Gil",si,AI71905,"AEROSOL IUSA BARNIZ CAOBA",17501476280762,6,510,85, 2D21,,no,,,no
15779,"INV. AEROSOL AW/AM/AI/AS","2023-02-05 08:37:10","27 - Jesús Víctor Gil",si,AI77805,"AEROSOL IUSA AMARILLO COLONIAL 400 ML.",10791279212313,6,102,17, 1D22,,no,,,no
15780,"INV. AEROSOL AW/AM/AI/AS","2023-02-05 08:37:45","27 - Jesús Víctor Gil",si,AI79805,"AEROSOL IUSA TRANSPARENTE 400 ML.",10791279212276,6,6,1, 1D22,,no,,,no
15781,"INV. AEROSOL AW/AM/AI/AS","2023-02-05 08:37:56","27 - Jesús Víctor Gil",si,AI78405,"AEROSOL IUSA ALUMINIO 400 ML.",10791279212252,6,12,2, 1D22,,no,,,no
15782,"INV. AEROSOL AW/AM/AI/AS","2023-02-05 08:38:35","27 - Jesús Víctor Gil",si,AI75305,"AEROSOL IUSA ROSA MEXICANO 400 ML.",10791279212283,6,6,1, 1D22,,no,,,no
15783,"INV. AEROSOL AW/AM/AI/AS","2023-02-05 08:38:55","27 - Jesús Víctor Gil",si,AI76305,"AEROSOL IUSA NARANJA FLUORESCENTE 400 ML.",10791279212504,6,48,8, 1D22,,no,,,no
15784,"INV. AEROSOL AW/AM/AI/AS","2023-02-05 08:44:09","27 - Jesús Víctor Gil",si,AI77505,"AEROSOL IUSA CAFE 400 ML.",10791279212375,6,702,117, 2B22,,no,,,no
15785,"INV. AEROSOL AW/AM/AI/AS","2023-02-05 08:44:49","27 - Jesús Víctor Gil",si,AI79605,"AEROSOL IUSA BLANCO MATE 400 ML.",10791279212269,6,666,111, 1B22,,no,,,no
15786,"INV. AEROSOL AW/AM/AI/AS","2023-02-05 08:47:33","27 - Jesús Víctor Gil",si,AS79805,"SPRAY PAINT TRANSPARENTE 114 400 ML.",17501476209657,12,12,1, PISO,,no,,,no
15787,"INV. AEROSOL AW/AM/AI/AS","2023-02-05 08:47:47","27 - Jesús Víctor Gil",si,AS75105,"SPRAY PAINT NEGRO SATINADO 160 400 ML.",17501476206854,12,12,1, PISO,,no,,,no
15788,"INV. AEROSOL AW/AM/AI/AS","2023-02-05 08:49:05","27 - Jesús Víctor Gil",si,AS75905,"SPRAY PAINT GRIS 118 400 ML.",17501476207356,12,816,68, 20E51,,no,,,no
