id,code,description,base_price,base_discount,preferential_price,preferential_discount,price_list_id,,article_id,price,discount
27603,IM77290,"IMPER ACRITERM CONSTRUPRO 5 A—OS BLANCO",545.45,0,556.65,0,3,,27603,556.65,0
28318,IM77390,"IMPER ACRITERM CONSTRUPRO 5 A—OS TERRACOTA",545.45,0,556.65,0,3,,28318,556.65,0
27517,IM78090,"ELASTO MASTER BLANCO  19 L",1254.52,0,1280.3,0,3,,27517,1280.3,0
22628,MA96140,"BARNIZ SECADO RAPIDO TRANSPARENTE 4 L.",228.6,0,182.88,0,3,,22628,182.88,0
22630,MA96190,"BARNIZ SECADO RAPIDO TRANSPARENTE 19 L.",1454.5,0,1163.6,0,3,,22630,1163.6,0
28434,MA96340,"CAT. P/ BRILLO DIRECTO 1X1",228.6,0,182.88,0,3,,28434,182.88,0
28435,MA9639003,"BRILLO DIRECTO CATALIZADOR",1454.5,0,1163.6,0,3,,28435,1163.6,0
28460,MA96490,"FONDO DE POLIURETANO LIJABLE",1454.5,0,1163.6,0,3,,28460,1163.6,0
28461,MA9649001,"CAT PARA FONDO POLIURETANO",1454.5,0,1163.6,0,3,,28461,1163.6,0
22633,MM17502,"MANCHA COLOR CHERRY 250 ML.",23.52,0,27.6,0,3,,22633,27.6,0
2005,MM17510,"MANCHA COLOR CHERRY 1 L.",76.32,0,73,0,3,,2005,73,0
22634,MM17602,"MANCHA COLOR NOGAL CLASICO 250 ML.",23.52,0,27.6,0,3,,22634,27.6,0
2006,MM17610,"MANCHA COLOR NOGAL CLASICO 1 L.",76.32,0,73,0,3,,2006,73,0
22635,MM17702,"MANCHA COLOR CAOBA CLASICO 250 ML.",23.52,0,27.6,0,3,,22635,27.6,0
2007,MM17710,"MANCHA COLOR CAOBA CLASICO 1 L.",76.32,0,73,0,3,,2007,73,0
22636,MM17802,"MANCHA COLOR ROBLE 250 ML.",23.52,0,27.6,0,3,,22636,27.6,0
2008,MM17810,"MANCHA COLOR ROBLE 1 L.",76.32,0,73,0,3,,2008,73,0
22637,MM17902,"MANCHA COLOR OYAMEL 250 ML.",23.52,0,27.6,0,3,,22637,27.6,0
2009,MM17910,"MANCHA COLOR OYAMEL 1 L.",76.32,0,73,0,3,,2009,73,0
22638,MM18002,"MANCHA COLOR NOGAL AMERICANO 250 ML.",23.52,0,27.6,0,3,,22638,27.6,0
2010,MM18010,"MANCHA COLOR NOGAL AMERICANO 1 L.",76.32,0,73,0,3,,2010,73,0
22639,MM18102,"MANCHA COLOR OLMO 250 ML.",23.52,0,27.6,0,3,,22639,27.6,0
2011,MM18110,"MANCHA COLOR OLMO 1 L.",76.32,0,73,0,3,,2011,73,0
22640,MM18202,"MANCHA COLOR MAPLE 250 ML.",23.52,0,27.6,0,3,,22640,27.6,0
2012,MM18210,"MANCHA COLOR MAPLE 1 L.",76.32,0,73,0,3,,2012,73,0
22641,MM18302,"MANCHA COLOR MAGNOLIA 250 ML.",23.52,0,27.6,0,3,,22641,27.6,0
2013,MM18310,"MANCHA COLOR MAGNOLIA 1 L.",76.32,0,73,0,3,,2013,73,0
22642,MM18402,"MANCHA COLOR AVELLANA 250 ML.",23.52,0,27.6,0,3,,22642,27.6,0
2014,MM18410,"MANCHA COLOR AVELLANA 1 L.",76.32,0,73,0,3,,2014,73,0
22643,MM18502,"MANCHA COLOR EARLY AMERICAN 250 ML.",23.52,0,27.6,0,3,,22643,27.6,0
2015,MM18510,"MANCHA COLOR EARLY AMERICAN 1 L.",76.32,0,73,0,3,,2015,73,0
22644,MM18602,"MANCHA COLOR CHOCOLATE 250 ML.",23.52,0,27.6,0,3,,22644,27.6,0
2016,MM18610,"MANCHA COLOR CHOCOLATE 1 L.",76.32,0,73,0,3,,2016,73,0
2017,MM75310,"NITROSELLO BLANCO 1 L.",92.86,0,102.14,0,3,,2017,102.14,0
22647,MM75340,"NITROSELLO BLANCO 4 L.",343.43,0,377.78,0,3,,22647,377.78,0
22649,MM75390,"NITROSELLO BLANCO 19 L.",1589.97,0,1748.97,0,3,,22649,1748.97,0
2018,MM75510,"NITROSELLO NEGRO 1 L.",92.85,0,90.79,0,3,,2018,90.79,0
22651,MM75540,"NITROSELLO NEGRO 4 L.",343.43,0,335.8,0,3,,22651,335.8,0
22652,MM75590,"NITROSELLO NEGRO 19 L.",1589.97,0,1554.64,0,3,,22652,1554.64,0
2019,MM77010,"NITROSELLO CHOCOLATE 1 L.",92.85,0,90.79,0,3,,2019,90.79,0
22653,MM77040,"NITROSELLO CHOCOLATE 4 L.",343.43,0,335.8,0,3,,22653,335.8,0
22654,MM77090,"NITROSELLO CHOCOLATE 19 L.",1589.97,0,1554.64,0,3,,22654,1554.64,0
2020,MM77510,"NITROSELLO GRIS 1 L.",92.85,0,90.79,0,3,,2020,90.79,0
2021,MM82110,"NITROLAK BRILLANTE A/S 1 L.",93.24,0,109.4,0,3,,2021,109.4,0
22658,MM82140,"NITROLAK BRILLANTE A/S 4 L.",346.49,0,406.55,0,3,,22658,406.55,0
22659,MM82190,"NITROLAK BRILLANTE A/S",1574.97,0,1847.97,0,3,,22659,1847.97,0
2022,MM82310,"NITROLAK SEMIMATE A/S 1 L.",93.24,0,109.4,0,3,,2022,109.4,0
22661,MM82340,"NITROLAK SEMIMATE A/S 4 L.",346.49,0,406.55,0,3,,22661,406.55,0
22662,MM82390,"NITROLAK SEMIMATE A/S 19 L.",1574.97,0,1847.97,0,3,,22662,1847.97,0
2024,MM8511002,"LACA ALTO DESEMPENO BLANCA 250 ML.",72.6,0,95.83,0,3,,2024,95.83,0
22668,MM8514002,"LACA ALTO DESEMPENO BLANCA 250 ML.",282.48,0,372.87,0,3,,22668,372.87,0
22671,MM8519002,"LACA ALTO DESEMPENO BLANCA 250 ML.",1247.38,0,1440.72,0,3,,22671,1440.72,0
2026,MM8521001,"LACA ALTO DESEMPENO AMARILLO OCRE 1 L.",72.6,0,95.83,0,3,,2026,95.83,0
22673,MM8524001,"LACA ALTO DESEMPENO AMARILLO OCRE 4 L.",282.48,0,372.87,0,3,,22673,372.87,0
22675,MM8529001,"LACA ALTO DESEMPENO AMARILLO OCRE 19 L.",1247.38,0,1440.72,0,3,,22675,1440.72,0
2028,MM8531001,"LACA ALTO DESEMPENO AMARILLO LIMON 1 L.",72.6,0,95.83,0,3,,2028,95.83,0
22677,MM8534001,"LACA ALTO DESEMPENO AMARILLO LIMON 4 L.",282.48,0,372.87,0,3,,22677,372.87,0
22679,MM8539001,"LACA ALTO DESEMPENO AMARILLO LIMON 19 L.",1247.38,0,1440.72,0,3,,22679,1440.72,0
2030,MM8541001,"LACA ALTO DESEMPENO AMARILLO ORO 1 L.",72.6,0,95.83,0,3,,2030,95.83,0
22681,MM8544001,"LACA ALTO DESEMPENO AMARILLO ORO 4 L.",282.48,0,372.87,0,3,,22681,372.87,0
22683,MM8549001,"LACA ALTO DESEMPENO AMARILLO ORO 19 L.",1247.38,0,1440.72,0,3,,22683,1440.72,0
2033,MM8561001,"LACA ALTO DESEMPENO CHOCOLATE 1 L.",72.6,0,95.83,0,3,,2033,95.83,0
22687,MM8564001,"LACA ALTO DESEMPENO CHOCOLATE 4 L.",282.48,0,372.87,0,3,,22687,372.87,0
22688,MM8564002,"LACA ALTO DESEMPENO CHOCOLATE S/M 250 ML.",256.8,0,372.87,0,3,,22688,372.87,0
22690,MM8569001,"LACA ALTO DESEMPENO CHOCOLATE 19 L.",1247.38,0,1440.72,0,3,,22690,1440.72,0
2035,MM8571001,"LACA ALTO DESEMPENO ROJO OXIDO 1 L.",72.6,0,96.51,0,3,,2035,96.51,0
22692,MM8574001,"LACA ALTO DESEMPENO ROJO OXIDO 4 L.",282.48,0,372.87,0,3,,22692,372.87,0
22694,MM8579001,"LACA ALTO DESEMPENO ROJO OXIDO 19 L.",1247.38,0,1440.72,0,3,,22694,1440.72,0
2037,MM8581001,"LACA ALTO DESEMPENO ROJO BERMELLON 1 L.",72.6,0,96.51,0,3,,2037,96.51,0
22696,MM8584001,"LACA ALTO DESEMPENO ROJO BERMELLON 4 L.",282.48,0,372.87,0,3,,22696,372.87,0
22698,MM8589001,"LACA ALTO DESEMPENO ROJO BERMELLON 19 L.",1247.38,0,1440.72,0,3,,22698,1440.72,0
2039,MM8601001,"LACA ALTO DESEMPENO AZUL 1 L.",72.6,0,96.51,0,3,,2039,96.51,0
22700,MM8604001,"LACA ALTO DESEMPENO AZUL 4 L.",282.48,0,372.87,0,3,,22700,372.87,0
22702,MM8609001,"LACA ALTO DESEMPENO AZUL 19 L.",1247.38,0,1440.72,0,3,,22702,1440.72,0
2041,MM8611001,"LACA ALTO DESEMPENO NEGRA 1 L.",72.6,0,96.51,0,3,,2041,96.51,0
22704,MM8614001,"LACA ALTO DESEMPENO NEGRA 4 L.",282.48,0,372.87,0,3,,22704,372.87,0
22706,MM8619001,"LACA ALTO DESEMPENO NEGRA 19 L.",1247.38,0,1440.72,0,3,,22706,1440.72,0
2043,MM8621001,"LACA ALTO DESEMPENO NARANJA 1 L.",72.6,0,96.51,0,3,,2043,96.51,0
22708,MM8624001,"LACA ALTO DESEMPENO NARANJA 4 L.",282.48,0,372.87,0,3,,22708,372.87,0
22710,MM8629001,"LACA ALTO DESEMPENO NARANJA 19 L.",1247.38,0,1440.72,0,3,,22710,1440.72,0
2044,MM8631001,"LACA ALTO DESEMPENO CHOCOLATE CLARO 1 L.",72.59,0,96.51,0,3,,2044,96.51,0
22711,MM8634001,"LACA ALTO DESEMPENO CHOCOLATE CLARO 4 L.",282.47,0,372.87,0,3,,22711,372.87,0
22712,MM8639001,"LACA ALTO DESEMPENO CHOCOLATE CLARO 19 L.",1247.38,0,1440.72,0,3,,22712,1440.72,0
2045,MM90110,"NITROSELLO 44300 1 L.",93.24,0,109.4,0,3,,2045,109.4,0
22714,MM90140,"NITROSELLO 44300 4 L.",346.49,0,406.55,0,3,,22714,406.55,0
22715,MM90190,"NITROSELLO 44300 19 L.",1574.97,0,1847.97,0,3,,22715,1847.97,0
2046,MM90210,"NITROSELLO 270 1 L.",76.47,0,89.72,0,3,,2046,89.72,0
22717,MM90240,"NITROSELLO 270 4 L.",298.07,0,349.74,0,3,,22717,349.74,0
22718,MM90290,"NITROSELLO 270 19 L.",1315.42,0,1543.42,0,3,,22718,1543.42,0
2047,MM90610,"SELLADOR ALTO DESEMPENO 1 L.",67.32,0,78.98,0,3,,2047,78.98,0
22720,MM90640,"SELLADOR ALTO DESEMPENO 4 L.",261.36,0,306.66,0,3,,22720,306.66,0
22721,MM90690,"SELLADOR ALTO DESEMPENO 19 L.",1154.98,0,1355.18,0,3,,22721,1355.18,0
2048,MM94010,"SOLVENTE P/POLIURETANO 1 L.",54,0,59.4,0,3,,2048,59.4,0
22740,MM95002,"BARNIZ TRANSPARENTE 250 ML.",27.98,0,27.36,0,3,,22740,27.36,0
22741,MM95005,"BARNIZ TRANSPARENTE 500 ML.",45.79,0,44.78,0,3,,22741,44.78,0
2051,MM95010,"BARNIZ TRANSPARENTE 1 L.",81.4,0,79.6,0,3,,2051,79.6,0
22742,MM95040,"BARNIZ TRANSPARENTE 4 L.",279.84,0,273.62,0,3,,22742,273.62,0
22743,MM95090,"BARNIZ TRANSPARENTE 19 L.",1284.7,0,1256.15,0,3,,22743,1256.15,0
22744,MM95102,"BARNIZ TRANSPARENTE MATE 250 ML.",30.53,0,29.85,0,3,,22744,29.85,0
22745,MM95105,"BARNIZ TRANSPARENTE MATE 500 ML.",49.6,0,48.5,0,3,,22745,48.5,0
2052,MM95110,"BARNIZ TRANSPARENTE MATE 1 L.",94.12,0,92.03,0,3,,2052,92.03,0
22746,MM95140,"BARNIZ TRANSPARENTE MATE 4 L.",349.79,0,342.02,0,3,,22746,342.02,0
22748,MM95202,"BARNIZ ENTINTADO ROBLE 250 ML.",29.95,0,29.29,0,3,,22748,29.29,0
22749,MM95205,"BARNIZ ENTINTADO ROBLE 500 ML.",48.67,0,47.59,0,3,,22749,47.59,0
2053,MM95210,"BARNIZ ENTINTADO ROBLE 1 L.",92.35,0,90.3,0,3,,2053,90.3,0
22750,MM95240,"BARNIZ ENTINTADO ROBLE 4 L.",343.19,0,335.57,0,3,,22750,335.57,0
22752,MM95302,"BARNIZ ENTINTADO AMARANTO 250 ML.",29.95,0,29.29,0,3,,22752,29.29,0
22753,MM95305,"BARNIZ ENTINTADO AMARANTO 500 ML.",48.67,0,47.59,0,3,,22753,47.59,0
2054,MM95310,"BARNIZ ENTINTADO AMARANTO 1 L.",92.35,0,90.3,0,3,,2054,90.3,0
22754,MM95340,"BARNIZ ENTINTADO AMARANTO 4 L.",343.19,0,335.57,0,3,,22754,335.57,0
22756,MM95402,"BARNIZ ENTINTADO CAOBA 250 ML.",29.95,0,29.29,0,3,,22756,29.29,0
22757,MM95405,"BARNIZ ENTINTADO CAOBA 500 ML.",48.67,0,47.59,0,3,,22757,47.59,0
2055,MM95410,"BARNIZ ENTINTADO CAOBA 1 L.",92.35,0,90.3,0,3,,2055,90.3,0
22758,MM95440,"BARNIZ ENTINTADO CAOBA 4 L.",343.19,0,335.57,0,3,,22758,335.57,0
22760,MM95502,"BARNIZ ENTINTADO CAOBA INGLES 250 ML.",29.95,0,29.29,0,3,,22760,29.29,0
22761,MM95505,"BARNIZ ENTINTADO CAOBA INGLES 500 ML.",48.67,0,47.59,0,3,,22761,47.59,0
