id,inventario,creado,equipo,registrado,código,descripción,upc,"capacidad por caja",cantidad,cajas,posición,"solicitud de cambio","cambios aplicados",eliminado,"justificación de eliminación",revisado
16196,"Aerosoles AW-PW-MA-IA","2023-02-26 09:09:10","35 - ISAU ROSALES MARTINEZ",si,AM82705,"SPRAY MASTER TABACO 400 ML.",17501476282711,12,96,8, 19B34,,no,,,no
16197,"Aerosoles AW-PW-MA-IA","2023-02-26 09:09:57","35 - ISAU ROSALES MARTINEZ",si,AM84205,"SPRAY MASTER COBRE 400 ML",17501476284357,12,384,32, 19B36,,no,,,no
16198,"Aerosoles AW-PW-MA-IA","2023-02-26 09:10:40","35 - ISAU ROSALES MARTINEZ",si,AM84505,"SPRAY MASTER AZUL ESPA OL 400 ML.",17501476284517,12,624,52, 19C36,,no,,,no
16199,"Aerosoles AW-PW-MA-IA","2023-02-26 09:11:06","35 - ISAU ROSALES MARTINEZ",si,AM85105,"SPRAY MASTER NEGRO SATINADO 400 ML.",17501476285118,12,504,42, 19C37,,no,,,no
16200,"Aerosoles AW-PW-MA-IA","2023-02-26 09:12:10","35 - ISAU ROSALES MARTINEZ",si,AM85605,"SPRAY MASTER GRIS 400 ML.",17501476285613,12,336,28, 19C38,,no,,,no
16201,"Aerosoles AW-PW-MA-IA","2023-02-26 09:14:19","35 - ISAU ROSALES MARTINEZ",si,AM86305,"SPRAY MASTER NARANJA FLOURESCENTE 400 ML.",17501476286313,12,360,30, 20C39,,no,,,no
16202,"Aerosoles AW-PW-MA-IA","2023-02-26 09:15:11","35 - ISAU ROSALES MARTINEZ",si,AM85505,"SPRAY MASTER AMARILLO FLOURESCENTE 400 ML.",17501476285514,12,384,32, 19B38,,no,,,no
16203,"Aerosoles AW-PW-MA-IA","2023-02-26 09:16:01","35 - ISAU ROSALES MARTINEZ",si,AM86105,"SPRAY MASTER AMARILLO CATERPILLAR 400 ML.",17501476286115,12,84,7, 19B39,,no,,,no
16204,"Aerosoles AW-PW-MA-IA","2023-02-26 09:16:44","35 - ISAU ROSALES MARTINEZ",si,AM85505,"SPRAY MASTER AMARILLO FLOURESCENTE 400 ML.",17501476285514,12,720,60, 20B38,,no,,,no
16205,"Aerosoles AW-PW-MA-IA","2023-02-26 09:17:50","35 - ISAU ROSALES MARTINEZ",si,AM87605,"SPRAY MASTER CHOCOLATE 400 ML.",17501476287617,12,132,11, 19C40,,no,,,no
16206,"Aerosoles AW-PW-MA-IA","2023-02-26 09:20:22","35 - ISAU ROSALES MARTINEZ",si,AS75005,"SPRAY PAINT BLANCO BRILLANTE 101 400 ML.",17501476206755,12,216,18, 19D52,,no,,,no
16207,"Aerosoles AW-PW-MA-IA","2023-02-26 09:20:55","35 - ISAU ROSALES MARTINEZ",si,AS75105,"SPRAY PAINT NEGRO SATINADO 160 400 ML.",17501476206854,12,12,1, 19D50,,no,,,no
16208,"Aerosoles AW-PW-MA-IA","2023-02-26 09:21:47","35 - ISAU ROSALES MARTINEZ",si,AS79805,"SPRAY PAINT TRANSPARENTE 114 400 ML.",17501476209657,12,12,1, 19D50,,no,,,no
16209,"Aerosoles AW-PW-MA-IA","2023-02-26 09:23:12","35 - ISAU ROSALES MARTINEZ",si,AS75905,"SPRAY PAINT GRIS 118 400 ML.",17501476207356,12,816,68, 20E51,,no,,,no
16210,"Aerosoles AW-PW-MA-IA","2023-02-26 09:27:21","35 - ISAU ROSALES MARTINEZ",si,AG79905,"AEROSOL GIMBEL NEGRO BRILLANTE 400 ML.",17501476212206,4,1340,335, 2A21,,no,,,no
16211,"Aerosoles AW-PW-MA-IA","2023-02-26 09:29:05","35 - ISAU ROSALES MARTINEZ",si,AG79905,"AEROSOL GIMBEL NEGRO BRILLANTE 400 ML.",17501476212206,4,1120,280, 1A21,,no,,,no
16212,"Aerosoles AW-PW-MA-IA","2023-02-26 09:30:58","35 - ISAU ROSALES MARTINEZ",si,AI77505,"AEROSOL IUSA CAFE 400 ML.",10791279212375,6,702,117, 2B21,,no,,,no
16213,"Aerosoles AW-PW-MA-IA","2023-02-26 09:31:50","35 - ISAU ROSALES MARTINEZ",si,AI79905,"AEROSOL IUSA NEGRO BRILLANTE 400 ML.",10791279212238,6,78,13, 2B22,,no,,,no
16214,"Aerosoles AW-PW-MA-IA","2023-02-26 09:33:22","35 - ISAU ROSALES MARTINEZ",si,AI79905,"AEROSOL IUSA NEGRO BRILLANTE 400 ML.",10791279212238,6,1440,240, 1B22,,no,,,no
